binFilename	virtualPlatform	benchmark	triggerMethod	printf	putc	trace	optLevel	textSize	dataSize	rodataSize	bssSize
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O0.elf	Simics	QURT	GDB	VPI	NONE	NONE	0	34640	1144	1416	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O1.elf	Simics	QURT	GDB	VPI	NONE	NONE	1	33940	1144	1376	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O2.elf	Simics	QURT	GDB	VPI	NONE	NONE	2	33760	1144	1376	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O3.elf	Simics	QURT	GDB	VPI	NONE	NONE	3	33732	1144	1368	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O0.elf	Simics	QURT	GDB	NONE	NONE	NONE	0	34376	1144	1256	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O1.elf	Simics	QURT	GDB	NONE	NONE	NONE	1	33780	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O2.elf	Simics	QURT	GDB	NONE	NONE	NONE	2	33616	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O3.elf	Simics	QURT	GDB	NONE	NONE	NONE	3	33648	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O0.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	0	34572	1112	1416	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O1.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	1	33912	1112	1376	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O2.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	2	33732	1112	1376	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O3.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	3	33704	1112	1368	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O0.elf	Simics	QURT	MAGIC	NONE	NONE	NONE	0	34344	1112	1256	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O1.elf	Simics	QURT	MAGIC	NONE	NONE	NONE	1	33776	1112	1208	752
