binFilename	virtualPlatform	benchmark	triggerMethod	printf	putc	optLevel	textSize	dataSize	rodataSize	bssSize
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O0.elf	Simics	QURT	GDB	VPI	NONE	0	34616	1144	1416	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O1.elf	Simics	QURT	GDB	VPI	NONE	1	34140	1144	1376	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O2.elf	Simics	QURT	GDB	VPI	NONE	2	33960	1144	1376	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O3.elf	Simics	QURT	GDB	VPI	NONE	3	33932	1144	1368	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_PLATFORM-O0.elf	Simics	QURT	GDB	C	PLATFORM	0	35028	1144	1304	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_PLATFORM-O1.elf	Simics	QURT	GDB	C	PLATFORM	1	34424	1144	1248	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_PLATFORM-O2.elf	Simics	QURT	GDB	C	PLATFORM	2	34332	1144	1248	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_PLATFORM-O3.elf	Simics	QURT	GDB	C	PLATFORM	3	34292	1144	1248	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_VPI-O0.elf	Simics	QURT	GDB	C	VPI	0	36020	1144	1320	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_VPI-O1.elf	Simics	QURT	GDB	C	VPI	1	35252	1144	1280	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_VPI-O2.elf	Simics	QURT	GDB	C	VPI	2	35156	1144	1280	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-pc_VPI-O3.elf	Simics	QURT	GDB	C	VPI	3	35116	1144	1280	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O0.elf	Simics	QURT	GDB	NONE	NONE	0	34304	1144	1256	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O1.elf	Simics	QURT	GDB	NONE	NONE	1	33772	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O2.elf	Simics	QURT	GDB	NONE	NONE	2	33608	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O3.elf	Simics	QURT	GDB	NONE	NONE	3	33640	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O0.elf	Simics	QURT	MAGIC	VPI	NONE	0	34548	1112	1416	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O1.elf	Simics	QURT	MAGIC	VPI	NONE	1	34112	1112	1376	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O2.elf	Simics	QURT	MAGIC	VPI	NONE	2	33932	1112	1376	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O3.elf	Simics	QURT	MAGIC	VPI	NONE	3	33904	1112	1368	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_PLATFORM-O0.elf	Simics	QURT	MAGIC	C	PLATFORM	0	34996	1112	1304	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_PLATFORM-O1.elf	Simics	QURT	MAGIC	C	PLATFORM	1	34420	1112	1248	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_PLATFORM-O2.elf	Simics	QURT	MAGIC	C	PLATFORM	2	34328	1112	1248	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_PLATFORM-O3.elf	Simics	QURT	MAGIC	C	PLATFORM	3	34288	1112	1248	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_VPI-O0.elf	Simics	QURT	MAGIC	C	VPI	0	35976	1112	1320	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_VPI-O1.elf	Simics	QURT	MAGIC	C	VPI	1	35240	1112	1280	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_VPI-O2.elf	Simics	QURT	MAGIC	C	VPI	2	35144	1112	1280	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-pc_VPI-O3.elf	Simics	QURT	MAGIC	C	VPI	3	35104	1112	1280	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O0.elf	Simics	QURT	MAGIC	NONE	NONE	0	34272	1112	1256	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O1.elf	Simics	QURT	MAGIC	NONE	NONE	1	33768	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O2.elf	Simics	QURT	MAGIC	NONE	NONE	2	33604	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O3.elf	Simics	QURT	MAGIC	NONE	NONE	3	33636	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_C-pc_PLATFORM-O0.elf	Simics	QURT	NONE	C	PLATFORM	0	34996	1112	1304	744
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_C-pc_PLATFORM-O1.elf	Simics	QURT	NONE	C	PLATFORM	1	34420	1112	1248	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_C-pc_PLATFORM-O2.elf	Simics	QURT	NONE	C	PLATFORM	2	34328	1112	1248	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_C-pc_PLATFORM-O3.elf	Simics	QURT	NONE	C	PLATFORM	3	34288	1112	1248	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O0.elf	Simics	QURT	NONE	NONE	NONE	0	34272	1112	1256	744
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O1.elf	Simics	QURT	NONE	NONE	NONE	1	33768	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O2.elf	Simics	QURT	NONE	NONE	NONE	2	33604	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O3.elf	Simics	QURT	NONE	NONE	NONE	3	33636	1112	1208	752
