binFilename	cpuStartTime	cpuStopTime	simTimeDuration	simDate
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O0.elf	34	1572177	1.819	Jan 11, 2011 15:08:04
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O1.elf	31	435897	1.622	Jan 11, 2011 15:08:13
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O2.elf	31	461687	1.628	Jan 11, 2011 15:08:22
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O3.elf	31	461711	1.612	Jan 11, 2011 15:08:29
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O0.elf	34	1571652	0.456	Jan 11, 2011 15:08:36
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O1.elf	31	435803	0.367	Jan 11, 2011 15:08:43
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O2.elf	31	461585	0.341	Jan 11, 2011 15:08:50
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O3.elf	31	461610	0.372	Jan 11, 2011 15:08:55
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-trace_NONE-O0.elf	34	1708271	0.594	Jan 11, 2011 15:09:01
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-trace_NONE-O1.elf	31	572254	0.420	Jan 11, 2011 15:09:08
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-trace_NONE-O2.elf	31	597904	0.410	Jan 11, 2011 15:09:14
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_C-trace_NONE-O3.elf	31	598103	0.410	Jan 11, 2011 15:09:21
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O0.elf	34	1572102	0.384	Jan 11, 2011 15:09:24
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O1.elf	31	435847	0.302	Jan 11, 2011 15:09:30
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O2.elf	31	461637	0.304	Jan 11, 2011 15:09:36
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O3.elf	31	461661	0.366	Jan 11, 2011 15:09:42
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O0.elf	34	1708271	0.381	Jan 11, 2011 15:09:48
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O1.elf	31	572254	0.304	Jan 11, 2011 15:09:53
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O2.elf	31	597904	0.302	Jan 11, 2011 15:09:59
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O3.elf	31	598103	0.298	Jan 11, 2011 15:10:05
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O0.elf	34	1571652	0.364	Jan 11, 2011 15:10:11
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O1.elf	31	435803	0.256	Jan 11, 2011 15:10:16
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O2.elf	31	461585	0.251	Jan 11, 2011 15:10:22
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O3.elf	31	461610	0.260	Jan 11, 2011 15:10:28
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O0.elf	34	1571652	0.334	Jan 11, 2011 15:10:34
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O1.elf	31	435803	0.256	Jan 11, 2011 15:10:39
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O2.elf	31	461585	0.250	Jan 11, 2011 15:10:45
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O3.elf	31	461610	0.250	Jan 11, 2011 15:10:51
