binFilename	cpuStartTime	cpuStopTime	simTimeDuration	simDate
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O0.elf	1	1572144	1.869	Jan 04, 2011 15:12:04
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O1.elf	1	435867	1.829	Jan 04, 2011 15:12:12
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O2.elf	1	461657	2.067	Jan 04, 2011 15:12:20
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-trace_NONE-O3.elf	0	461680	1.845	Jan 04, 2011 15:12:28
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O0.elf	1	1571619	0.467	Jan 04, 2011 15:12:34
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O1.elf	1	435773	0.372	Jan 04, 2011 15:12:41
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O2.elf	1	461555	0.353	Jan 04, 2011 15:12:47
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O3.elf	0	461580	0.369	Jan 04, 2011 15:12:53
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O0.elf	1	1572069	0.388	Jan 04, 2011 15:12:57
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O1.elf	1	435817	0.308	Jan 04, 2011 15:13:03
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O2.elf	1	461607	0.303	Jan 04, 2011 15:13:09
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O3.elf	0	461630	0.296	Jan 04, 2011 15:13:14
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O0.elf	1	1571619	0.326	Jan 04, 2011 15:13:20
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O1.elf	1	435773	0.261	Jan 04, 2011 15:13:26
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O2.elf	1	461555	0.254	Jan 04, 2011 15:13:32
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O3.elf	0	461580	0.250	Jan 04, 2011 15:13:38
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O0.elf	1	1571619	0.331	Jan 04, 2011 15:13:44
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O1.elf	1	435773	0.260	Jan 04, 2011 15:13:50
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O2.elf	1	461555	0.250	Jan 04, 2011 15:13:56
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-trace_NONE-O3.elf	0	461580	0.249	Jan 04, 2011 15:14:02
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-trace_NONE-O0.elf	182	64109886	83.921	Jan 04, 2011 15:15:32
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-trace_NONE-O1.elf	135	37287485	85.346	Jan 04, 2011 15:17:02
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-trace_NONE-O2.elf	181	38025095	88.361	Jan 04, 2011 15:18:34
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-trace_NONE-O3.elf	181	38017576	85.063	Jan 04, 2011 15:20:04
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-trace_NONE-O0.elf	181	25894443	0.360	Jan 04, 2011 15:20:08
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-trace_NONE-O1.elf	136	16246904	0.276	Jan 04, 2011 15:20:13
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-trace_NONE-O2.elf	136	15485473	0.253	Jan 04, 2011 15:20:18
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-trace_NONE-O3.elf	181	15445438	0.250	Jan 04, 2011 15:20:23
../bin/VPI-case-study-Qemu-QURT-trig_NONE-pf_NONE-trace_NONE-O0.elf	181	23167092	0.311	Jan 04, 2011 15:20:28
../bin/VPI-case-study-Qemu-QURT-trig_NONE-pf_NONE-trace_NONE-O1.elf	181	16911238	0.241	Jan 04, 2011 15:20:31
../bin/VPI-case-study-Qemu-QURT-trig_NONE-pf_NONE-trace_NONE-O2.elf	182	15745745	0.235	Jan 04, 2011 15:20:35
../bin/VPI-case-study-Qemu-QURT-trig_NONE-pf_NONE-trace_NONE-O3.elf	181	15712910	0.231	Jan 04, 2011 15:20:39
