binFilename	virtualPlatform	benchmark	triggerMethod	printf	putc	trace	optLevel	textSize	dataSize	rodataSize	bssSize
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_SEMI-trace_NONE-O0.elf	Simics	QURT	MAGIC	SEMI	NONE	NONE	0	35992	1112	1368	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_SEMI-trace_NONE-O1.elf	Simics	QURT	MAGIC	SEMI	NONE	NONE	1	35216	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_SEMI-trace_NONE-O2.elf	Simics	QURT	MAGIC	SEMI	NONE	NONE	2	35124	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_SEMI-trace_NONE-O3.elf	Simics	QURT	MAGIC	SEMI	NONE	NONE	3	35084	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O0.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	0	35944	1112	1496	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O1.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	1	35108	1112	1424	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O2.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	2	34928	1112	1424	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-trace_NONE-O3.elf	Simics	QURT	MAGIC	VPI	NONE	NONE	3	34884	1112	1432	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O0.elf	Simics	QURT	MAGIC	C	NONE	NONE	0	36004	1112	1368	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O1.elf	Simics	QURT	MAGIC	C	NONE	NONE	1	35228	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O4.elf	Simics	QURT	MAGIC	C	NONE	NONE	4	35136	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_C-trace_NONE-O3.elf	Simics	QURT	MAGIC	C	NONE	NONE	3	35096	1112	1312	752
