binFilename	virtualPlatform	benchmark	triggerMethod	printf	putc	trace	optLevel	textSize	dataSize	rodataSize	bssSize
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O0.elf	Simics	QURT	MAGIC	NONE	NONE	NONE	0	35656	1112	1272	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O1.elf	Simics	QURT	MAGIC	NONE	NONE	NONE	1	34956	1112	1224	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O2.elf	Simics	QURT	MAGIC	NONE	NONE	NONE	2	34792	1112	1224	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_NONE-O3.elf	Simics	QURT	MAGIC	NONE	NONE	NONE	3	34808	1112	1224	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_GCC-O0.elf	Simics	QURT	MAGIC	NONE	NONE	GCC	0	36100	1112	1368	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_GCC-O1.elf	Simics	QURT	MAGIC	NONE	NONE	GCC	1	35880	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_GCC-O2.elf	Simics	QURT	MAGIC	NONE	NONE	GCC	2	35816	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_GCC-O3.elf	Simics	QURT	MAGIC	NONE	NONE	GCC	3	35816	1112	1312	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_VPI-O0.elf	Simics	QURT	MAGIC	NONE	NONE	VPI	0	35812	1112	1608	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_VPI-O1.elf	Simics	QURT	MAGIC	NONE	NONE	VPI	1	35524	1112	2048	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_VPI-O2.elf	Simics	QURT	MAGIC	NONE	NONE	VPI	2	35412	1112	2048	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-trace_VPI-O3.elf	Simics	QURT	MAGIC	NONE	NONE	VPI	3	35368	1112	2040	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O0.elf	Simics	QURT	GDB	NONE	NONE	NONE	0	35688	1144	1272	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O1.elf	Simics	QURT	GDB	NONE	NONE	NONE	1	34960	1144	1224	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O2.elf	Simics	QURT	GDB	NONE	NONE	NONE	2	34796	1144	1224	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_NONE-O3.elf	Simics	QURT	GDB	NONE	NONE	NONE	3	34812	1144	1224	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_GCC-O0.elf	Simics	QURT	GDB	NONE	NONE	GCC	0	36156	1144	1368	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_GCC-O1.elf	Simics	QURT	GDB	NONE	NONE	GCC	1	35900	1144	1312	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_GCC-O2.elf	Simics	QURT	GDB	NONE	NONE	GCC	2	35836	1144	1312	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_GCC-O3.elf	Simics	QURT	GDB	NONE	NONE	GCC	3	35836	1144	1312	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_VPI-O0.elf	Simics	QURT	GDB	NONE	NONE	VPI	0	36000	1144	1608	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_VPI-O1.elf	Simics	QURT	GDB	NONE	NONE	VPI	1	35796	1144	2048	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_VPI-O2.elf	Simics	QURT	GDB	NONE	NONE	VPI	2	35684	1144	2048	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-trace_VPI-O3.elf	Simics	QURT	GDB	NONE	NONE	VPI	3	35640	1144	2040	752
