binFilename	virtualPlatform	benchmark	triggerMethod	printf	putc	optLevel	textSize	dataSize	rodataSize	bssSize
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O0.elf	Simics	QURT	GDB	VPI	NONE	0	34568	1144	1416	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O1.elf	Simics	QURT	GDB	VPI	NONE	1	33932	1144	1376	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O2.elf	Simics	QURT	GDB	VPI	NONE	2	33752	1144	1376	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_VPI-pc_NONE-O3.elf	Simics	QURT	GDB	VPI	NONE	3	33724	1144	1368	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O0.elf	Simics	QURT	GDB	NONE	NONE	0	34304	1144	1256	744
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O1.elf	Simics	QURT	GDB	NONE	NONE	1	33772	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O2.elf	Simics	QURT	GDB	NONE	NONE	2	33608	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_GDB-pf_NONE-pc_NONE-O3.elf	Simics	QURT	GDB	NONE	NONE	3	33640	1144	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O0.elf	Simics	QURT	MAGIC	VPI	NONE	0	34500	1112	1416	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O1.elf	Simics	QURT	MAGIC	VPI	NONE	1	33904	1112	1376	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O2.elf	Simics	QURT	MAGIC	VPI	NONE	2	33724	1112	1376	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_VPI-pc_NONE-O3.elf	Simics	QURT	MAGIC	VPI	NONE	3	33696	1112	1368	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O0.elf	Simics	QURT	MAGIC	NONE	NONE	0	34272	1112	1256	744
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O1.elf	Simics	QURT	MAGIC	NONE	NONE	1	33768	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O2.elf	Simics	QURT	MAGIC	NONE	NONE	2	33604	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_MAGIC-pf_NONE-pc_NONE-O3.elf	Simics	QURT	MAGIC	NONE	NONE	3	33636	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O0.elf	Simics	QURT	NONE	NONE	NONE	0	34272	1112	1256	744
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O1.elf	Simics	QURT	NONE	NONE	NONE	1	33768	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O2.elf	Simics	QURT	NONE	NONE	NONE	2	33604	1112	1208	752
../bin/VPI-case-study-Simics-QURT-trig_NONE-pf_NONE-pc_NONE-O3.elf	Simics	QURT	NONE	NONE	NONE	3	33636	1112	1208	752
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-pc_NONE-O0.elf	Qemu	QURT	GDB	VPI	NONE	0	34800	1136	3256	744
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-pc_NONE-O1.elf	Qemu	QURT	GDB	VPI	NONE	1	34156	1136	3216	752
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-pc_NONE-O2.elf	Qemu	QURT	GDB	VPI	NONE	2	33984	1136	3216	752
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_VPI-pc_NONE-O3.elf	Qemu	QURT	GDB	VPI	NONE	3	33940	1136	3208	752
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-pc_NONE-O0.elf	Qemu	QURT	GDB	NONE	NONE	0	34536	1136	3096	744
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-pc_NONE-O1.elf	Qemu	QURT	GDB	NONE	NONE	1	33996	1136	3048	752
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-pc_NONE-O2.elf	Qemu	QURT	GDB	NONE	NONE	2	33840	1136	3048	752
../bin/VPI-case-study-Qemu-QURT-trig_GDB-pf_NONE-pc_NONE-O3.elf	Qemu	QURT	GDB	NONE	NONE	3	33856	1136	3048	752
